"","sample_id","Result(NPOC)","Result(TN)","Block","Plot","Treatment","FUM","freshsoil_g","soilm_tin","soilm_wet_g","soilm_dry_tin","k2so4_L"
"63","2-17  WAR UF","44.840","1.724",2,17,"warming","uf",5,17.72,10.03,25.36,0.025
"64","2-18  CON UF","14.970","1.295",2,18,"control","uf",5.05,3.54,10.09,11.38,0.025
"65","2-18  WAR UF","17.570","1.853",2,18,"warming","uf",4.98,3.55,10.08,11.74,0.025
"66","2-18  CON FUM","30.420","3.295",2,18,"control","fum",5,3.54,10.09,11.38,0.025
"67","2-18  WAR FUM","31.270","2.531",2,18,"warming","fum",4.98,3.55,10.08,11.74,0.025
"68","2-20  WAR FUM","29.130","3.834",2,20,"warming","fum",5.05,3.62,10.01,11.59,0.025
"69","2-20  WAR UF","15.600","1.68",2,20,"warming","uf",5.05,3.62,10.01,11.59,0.025
"70","3-3  WAR FUM","42.5200","5.679",3,3,"warming","fum",4.99,2.95,9.95,10.84,0.025
"71","3-14  CON UF","19.250","1.791",3,14,"control","uf",5.08,3.55,10.16,10.42,0.025
"72","3-16  WAR UF","20.88","2.169",3,16,"warming","uf",4.89,3.6,10.01,11.27,0.025
"73","4-8  CON FUM","44.330","6.617",4,8,"control","fum",4.9,3.53,10.05,10.59,0.025
"74","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
