"","Collar","NH4","NO3","ID.USUARIO","Block","Plot","Treat","Extract","Treatment","freshsoil_g","KCL_L","soilm_tin","soilm_wet_g","soilm_dry_tin","soilm_dry_g","soilm_grav","drysoil_sample_g","liquid_sample_L","mgNH4_gsoil","mgNO3_gsoil","mgNH4_kgsoil","mgNO3_kgsoil","percC","percN","C.N"
"23","3-16-con",1.09,0.16,"3-16-con-KCl",3,16,"con","KCl","control",6.49,0.02,3.57,10.1,10.25,6.68,0.511976047904192,4.29239603960396,0.022197603960396,0.00563680240443612,0.00082742053643099,5.63680240443612,0.82742053643099,14.53,1.2,12.1
"24","3-16-war",1.38,1.19,"3-16-war-KCl",3,16,"war","KCl","warming",6.54,0.02,3.6,10.01,11.27,7.67,0.305084745762712,5.01116883116883,0.0215288311688312,0.00592871404136215,0.00511244181827606,5.92871404136215,5.11244181827606,11.68,0.93,12.6
"25","4-6-con",1.08,1.44,"4-6-con-KCl",4,6,"con","KCl","control",6.58,0.02,2.71,10.09,10.16,7.45,0.354362416107383,4.8583746283449,0.0217216253716551,0.00482864274494604,0.00643819032659472,4.82864274494604,6.43819032659472,9.79,0.8,12.2
"26","4-6-war",2.41,0.4,"4-6-war-KCl",4,6,"war","KCl","warming",6.45,0.02,3.57,9.99,11.74,8.17,0.222766217870257,5.27492492492493,0.0211750750750751,0.00967443739147761,0.00160571574962284,9.67443739147761,1.60571574962284,11.91,0.89,13.4
"27","4-8-con",1.61,0.21,"4-8-con-KCl",4,8,"con","KCl","control",6.69,0.02,3.53,10.05,10.59,7.06,0.423512747875354,4.69964179104478,0.0219903582089552,0.00753344154524321,0.000982622810249114,7.53344154524321,0.982622810249114,13.21,0.97,13.6
"28","4-8-war",1.51,0.54,"4-8-war-KCl",4,8,"war","KCl","warming",6.39,0.02,3.53,10.07,10.96,7.43,0.355316285329744,4.71476663356505,0.021675233366435,0.00694193476095093,0.00248254620590298,6.94193476095093,2.48254620590298,12.84,0.94,13.7
"29","4-11-con",1.53,0.55,"4-11-con-KCl",4,11,"con","KCl","control",6.55,0.02,3.54,9.93,10.76,7.22,0.375346260387812,4.76243705941591,0.0217875629405841,0.00699956154447992,0.00251618225455161,6.99956154447992,2.51618225455161,14.67,1.04,14.1
"30","4-11-war",4.32,1,"4-11-war-KCl",4,11,"war","KCl","warming",6.51,0.02,3.59,9.97,11.28,7.69,0.296488946684005,5.02125376128385,0.0214887462387162,0.0184876901595824,0.00427955790731075,18.4876901595824,4.27955790731075,11.18,0.9,12.4
"31","4-15-con",2.37,0.22,"4-15-con-KCl",4,15,"con","KCl","control",6.56,0.02,1.03,10.02,8.99,7.96,0.258793969849246,5.2113373253493,0.0213486626746507,0.00970889569800221,0.000901247701924255,9.70889569800221,0.901247701924255,13.73,1.06,13
"32","4-15-war",1.65,0.73,"4-15-war-KCl",4,15,"war","KCl","warming",6.77,0.02,3.56,10.02,11.35,7.79,0.286264441591784,5.26330339321357,0.0215066966067864,0.00674216300108271,0.00298289635805477,6.74216300108271,2.98289635805477,8.76,0.65,13.5
"33","4-19-con",1.22,0.83,"4-19-con-KCl",4,19,"con","KCl","control",6.43,0.02,3.59,10.06,11.01,7.42,0.355795148247979,4.74260437375746,0.0216873956262425,0.0055789225874334,0.00379549651440141,5.5789225874334,3.79549651440141,9.84,0.76,12.9
"34","4-19-war",2.02,0.9,"4-19-war-KCl",4,19,"war","KCl","warming",6.59,0.02,18.34,10.06,26.84,8.5,0.183529411764706,5.56809145129225,0.0210219085487078,0.00762635736856199,0.00339788199589396,7.62635736856199,3.39788199589396,9.41,0.76,12.4
